,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,비쌈
27512,서울특별시 강서구 가양동,1490,1490,0,가양도시개발9-2단지,39.6,201910,11,40000,2,1993,허준로 234,True
27513,서울특별시 강서구 가양동,1490,1490,0,가양도시개발9-2단지,49.5,201910,12,54300,9,1993,허준로 234,True
27515,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201910,1,42000,11,1992,허준로 139,True
27516,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201910,1,41200,8,1992,허준로 139,True
27517,서울특별시 강서구 가양동,1475,1475,0,강변,34.44,201910,5,35250,9,1992,허준로 139,True
27518,서울특별시 강서구 가양동,1475,1475,0,강변,34.44,201910,12,35500,3,1992,허준로 139,True
27519,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201910,14,44750,9,1992,허준로 139,True
27520,서울특별시 강서구 가양동,1475,1475,0,강변,34.44,201910,15,34800,6,1992,허준로 139,True
27521,서울특별시 강서구 가양동,1475,1475,0,강변,34.44,201910,16,35700,11,1992,허준로 139,True
27522,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201910,22,42000,8,1992,허준로 139,True
27523,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201910,23,37000,3,1992,허준로 139,True
27566,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201910,7,42000,6,1994,공항대로43길 104,True
27567,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201910,8,43800,8,1994,공항대로43길 104,True
27568,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201910,9,42400,6,1994,공항대로43길 104,True
27569,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201910,23,41500,3,1994,공항대로43길 104,True
27570,서울특별시 강서구 등촌동,707,707,0,"등촌7,8단지주공아파트",41.85,201910,29,41000,15,1994,공항대로43길 104,True
27587,서울특별시 강서구 등촌동,688,688,0,주공3,37.67,201910,20,42000,2,1995,강서로56나길 37,True
27590,서울특별시 강서구 등촌동,695,695,0,주공5,37.67,201910,9,39800,3,1995,공항대로39길 74,True
27591,서울특별시 강서구 등촌동,695,695,0,주공5,37.67,201910,11,41500,5,1995,공항대로39길 74,True
27624,서울특별시 강서구 방화동,814,814,0,방화5,33.18,201910,2,30900,5,1994,금낭화로 287-19,True
27625,서울특별시 강서구 방화동,814,814,0,방화5,33.18,201910,12,31000,11,1994,금낭화로 287-19,True
27626,서울특별시 강서구 방화동,814,814,0,방화5,39.6,201910,13,34700,6,1994,금낭화로 287-19,True
27627,서울특별시 강서구 방화동,814,814,0,방화5,33.18,201910,14,30500,7,1994,금낭화로 287-19,True
27628,서울특별시 강서구 방화동,814,814,0,방화5,39.6,201910,18,34700,3,1994,금낭화로 287-19,True
27629,서울특별시 강서구 방화동,814,814,0,방화5,49.77,201910,21,45700,12,1994,금낭화로 287-19,True
27630,서울특별시 강서구 방화동,814,814,0,방화5,39.6,201910,30,34500,13,1994,금낭화로 287-19,True
27631,서울특별시 강서구 방화동,839,839,0,방화그린,33.6,201910,1,25000,2,1993,방화대로48길 40,True
27632,서울특별시 강서구 방화동,839,839,0,방화그린,49.77,201910,4,34000,8,1993,방화대로48길 40,True
27633,서울특별시 강서구 방화동,839,839,0,방화그린,39.76,201910,18,28000,2,1993,방화대로48길 40,True
27634,서울특별시 강서구 방화동,839,839,0,방화그린,49.77,201910,21,37500,5,1993,방화대로48길 40,True
27637,서울특별시 강서구 방화동,841,841,0,장미,39.96,201910,19,31700,5,1994,양천로 125,True
27638,서울특별시 강서구 방화동,832,832,0,청솔,39.36,201910,8,33500,7,1994,방화대로47길 55,True
27640,서울특별시 강서구 방화동,832,832,0,청솔,39.36,201910,22,30100,5,1994,방화대로47길 55,True
27643,서울특별시 강서구 방화동,286-1,286,1,한미(286-1),47.22,201910,9,36400,2,1988,양천로23길 9,True
27644,서울특별시 강서구 방화동,286-1,286,1,한미(286-1),40.02,201910,18,28800,4,1988,양천로23길 8,True
27645,서울특별시 강서구 방화동,286-1,286,1,한미(286-1),40.02,201910,19,29700,1,1988,양천로23길 8,True
27646,서울특별시 강서구 방화동,286-1,286,1,한미(286-1),47.22,201910,29,37000,3,1988,양천로23길 9,True
27708,서울특별시 강서구 화곡동,917-5,917,5,남광아파트,45.53,201910,9,24000,11,2015,곰달래로22길 18,True
27709,서울특별시 강서구 화곡동,920-15,920,15,남광아파트,32.07,201910,14,21000,9,2017,곰달래로18길 3,True
27712,서울특별시 강서구 화곡동,918-14,918,14,도양라비앙아파트,48.88,201910,31,27600,5,2016,곰달래로22길 15,True
27713,서울특별시 강서구 화곡동,899-13,899,13,드림시드아파트 1차,40.18,201910,10,29800,9,2017,강서로7길 20-10,True
27716,서울특별시 강서구 화곡동,926-3,926,3,메종드로제,49.26,201910,25,38600,12,2019,곰달래로18길 33-1,True
27725,서울특별시 강서구 화곡동,918-38,918,38,성재센트리움,39.27,201910,11,23000,7,2016,곰달래로22길 5,True
27753,서울특별시 강서구 화곡동,925-5,925,5,풍원팰리스,43.8,201910,23,24400,6,2012,곰달래로20길 18,True
27754,서울특별시 강서구 화곡동,899-8,899,8,한울아파트,28.82,201910,4,24200,5,2018,강서로7길 18,True
